event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram
Ü30-Party @ Sudhaus Basel,2025-09-20 22:00:00,,,,Clubnacht / Tanzparty,Ja,None,15.0,15.0,CHF,fixed,günstig,300.0,2000.0,large,30.0,55.0,Midlife,"Sudhaus Basel, Schweiz",Basel,Herbst,Ja,"Ü30, Party-Publikum",Sudhaus Basel,@sudhaus_basel
Sunday Hop @ Basel Jitterbugs,2025-09-18 18:00:00,,,,Swing Social Dance (Lindy Hop/Balboa),Ja,Swing/Balboa,10.0,10.0,CHF,fixed,günstig,50.0,200.0,medium,20.0,45.0,Midlife,"Unternehmen Mitte, Basel",Basel,unknown,Ja,Swingtanz-Community,Basel Jitterbugs,@baseljitterbugs
3-Floor-Práctica Bailamos Salsa,2025-09-18 20:00:00,,,,Salsa/Bachata/Kizomba Social Dance,Ja,Salsa/Bachata/Kizomba,10.0,15.0,CHF,range,günstig,50.0,200.0,medium,20.0,40.0,Adults,"Bailamos Salsa GmbH, Basel",Basel,unknown,Ja,Latin Dance Community,Bailamos Salsa GmbH,@bailamossalsa
Nellies Tanztee,2025-09-28 15:00:00,,,,Tanztee / Social,Ja,None,0.0,0.0,FREE,free,teuer,50.0,200.0,medium,40.0,70.0,Senior/All Ages,"Nellie Nashorn, Lörrach",Lörrach/Weil,Herbst,Ja,"Soziokultur, Generation 40+",Nellie Nashorn,@nellie.nashorn
STIMMEN Festival,2025-09-18 00:00:00,,,,Open-Air Musikfestival,Nein,Multigenre,40.0,120.0,EUR,range,teuer,10000.0,,mega,25.0,60.0,Midlife,Burghof Lörrach & weitere Locations,Lörrach/Weil,unknown,Ja,"Festivalbesucher, Kulturinteressierte",Burghof Lörrach GmbH,@burghof
Sea You Festival,2025-03-18 00:00:00,,,,Elektronisches Musikfestival,Nein,Multigenre,99.0,169.0,EUR,range,teuer,10000.0,,mega,18.0,35.0,Adults,"Tunisee, Freiburg",Freiburg,Sommer,Ja,"EDM-Fans, Festivalgänger",Sea You Freiburg GmbH,@seayoufestival
Zelt-Musik-Festival (ZMF),2025-03-18 00:00:00,,,,Multigenre Festival (Musik/Tanz/Kleinkunst),Ja,Multigenre,20.0,80.0,EUR,range,teuer,10000.0,,mega,25.0,60.0,Midlife,"Mundenhof, Freiburg",Freiburg,Sommer,Ja,"Breites Publikum, Kulturinteressierte",ZMF GmbH & Vaddi Concerts,@zmf_freiburg
Atlantis Tanznacht40,2025-09-18 21:00:00,,,,Ü40 Tanznacht / Clubnacht,Ja,None,15.0,15.0,CHF,fixed,günstig,300.0,2000.0,large,40.0,65.0,Senior/All Ages,Atlantis Basel,Basel,unknown,Ja,Ü40 Party-Publikum,Atlantis Basel,@atlantisbasel
Nordstern Weekend Club,2025-09-18 23:00:00,,,,Techno/House Clubnacht,Nein,EDM/Techno/House,20.0,30.0,CHF,range,mittel,300.0,2000.0,large,20.0,40.0,Adults,"Nordstern, Basel",Basel,unknown,Ja,Techno/House Fans,Nordstern Basel,@nordsternbasel
Corrientes Milonga,2025-09-18 20:00:00,,,,Tango Social Dance,Ja,Tango,12.0,12.0,CHF,fixed,günstig,50.0,200.0,medium,30.0,65.0,Senior/All Ages,Corrientes Basel,Basel,unknown,Ja,Tango-Community,Corrientes Basel,@corrientesbasel
