event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description
Ü30-Party @ Sudhaus Basel,2025-09-20 22:00:00,,,,Clubnacht / Tanzparty,Ja,None,15.0,15.0,CHF,paid,mid,300.0,2000.0,large (>500),30.0,55.0,18+,"Sudhaus Basel, Schweiz",Basel (CH),autumn,Ja,"Ü30, Party-Publikum",Sudhaus Basel,https://www.instagram.com/sudhaus_basel/,https://ueparties.ch/event/ue30-party-sud-basel-club-edition/,0.3,"Ü30-Party @ Sudhaus Basel | by Sudhaus Basel | on 2025-09-20 22:00:00 | in Sudhaus Basel, Schweiz"
Sunday Hop @ Basel Jitterbugs,2025-09-18 18:00:00,,,,Swing Social Dance (Lindy Hop/Balboa),Ja,Swing/Balboa,10.0,10.0,CHF,paid,mid,50.0,200.0,medium (100–500),20.0,45.0,18+,"Unternehmen Mitte, Basel",Basel (CH),autumn,Ja,Swingtanz-Community,Basel Jitterbugs,https://www.instagram.com/baseljitterbugs/,https://baseljitterbugs.ch/swingtanz-partys-in-basel/sunday-hop/,0.9,"Sunday Hop @ Basel Jitterbugs | by Basel Jitterbugs | on 2025-09-18 18:00:00 | in Unternehmen Mitte, Basel"
3-Floor-Práctica Bailamos Salsa,2025-09-18 20:00:00,,,,Salsa/Bachata/Kizomba Social Dance,Ja,Salsa/Bachata/Kizomba,10.0,15.0,CHF,paid,mid,50.0,200.0,medium (100–500),20.0,40.0,18+,"Bailamos Salsa GmbH, Basel",Basel (CH),autumn,Ja,Latin Dance Community,Bailamos Salsa GmbH,https://www.instagram.com/bailamossalsa/,https://eventfrog.ch/en/p/groups/thursday-practica-salsa-bachata-kizomba-7292304738711776666.html,0.7000000000000001,"3-Floor-Práctica Bailamos Salsa | by Bailamos Salsa GmbH | on 2025-09-18 20:00:00 | in Bailamos Salsa GmbH, Basel"
Nellies Tanztee,2025-09-28 15:00:00,,,,Tanztee / Social,Ja,None,0.0,0.0,EUR,free,low,50.0,200.0,medium (100–500),40.0,70.0,18+,"Nellie Nashorn, Lörrach",Lörrach (DE),autumn,Ja,"Soziokultur, Generation 40+",Nellie Nashorn,https://www.instagram.com/nellie.nashorn/,https://nellie-nashorn.de/wp/,0.3,"Nellies Tanztee | by Nellie Nashorn | on 2025-09-28 15:00:00 | in Nellie Nashorn, Lörrach"
STIMMEN Festival,2025-09-18 00:00:00,,,,Open-Air Musikfestival,Nein,Multigenre,40.0,120.0,EUR,paid,high,10000.0,,large (>500),25.0,60.0,18+,Burghof Lörrach & weitere Locations,Lörrach (DE),autumn,Ja,"Festivalbesucher, Kulturinteressierte",Burghof Lörrach GmbH,https://www.instagram.com/burghof/,https://www.stimmen.com/,0.8,STIMMEN Festival | by Burghof Lörrach GmbH | on 2025-09-18 00:00:00 | in Burghof Lörrach & weitere Locations
Sea You Festival,2025-03-18 00:00:00,,,,Elektronisches Musikfestival,Nein,Multigenre,99.0,169.0,EUR,paid,high,10000.0,,large (>500),18.0,35.0,18+,"Tunisee, Freiburg",Freiburg (DE),spring,Ja,"EDM-Fans, Festivalgänger",Sea You Freiburg GmbH,https://www.instagram.com/seayoufestival/,https://www.seayou-festival.de/beach-republic/information-at-a-glance/index_eng.html,0.9,"Sea You Festival | by Sea You Freiburg GmbH | on 2025-03-18 00:00:00 | in Tunisee, Freiburg"
Zelt-Musik-Festival (ZMF),2025-03-18 00:00:00,,,,Multigenre Festival (Musik/Tanz/Kleinkunst),Ja,Multigenre,20.0,80.0,EUR,paid,mid,10000.0,,large (>500),25.0,60.0,18+,"Mundenhof, Freiburg",Freiburg (DE),spring,Ja,"Breites Publikum, Kulturinteressierte",ZMF GmbH & Vaddi Concerts,https://www.instagram.com/zmf_freiburg/,https://zmf.de/en/information/,0.9,"Zelt-Musik-Festival (ZMF) | by ZMF GmbH & Vaddi Concerts | on 2025-03-18 00:00:00 | in Mundenhof, Freiburg"
Atlantis Tanznacht40,2025-09-18 21:00:00,,,,Ü40 Tanznacht / Clubnacht,Ja,None,15.0,15.0,CHF,paid,mid,300.0,2000.0,large (>500),40.0,65.0,18+,Atlantis Basel,Basel (CH),autumn,Ja,Ü40 Party-Publikum,Atlantis Basel,https://www.instagram.com/atlantisbasel/,https://www.tanznacht40.ch/veranstaltung/tanznacht-40-10/,0.3,Atlantis Tanznacht40 | by Atlantis Basel | on 2025-09-18 21:00:00 | in Atlantis Basel
Nordstern Weekend Club,2025-09-18 23:00:00,,,,Techno/House Clubnacht,Nein,EDM/Techno/House,20.0,30.0,CHF,paid,mid,300.0,2000.0,large (>500),20.0,40.0,18+,"Nordstern, Basel",Basel (CH),autumn,Ja,Techno/House Fans,Nordstern Basel,https://www.instagram.com/nordsternbasel/,https://nordstern.com/,0.8,"Nordstern Weekend Club | by Nordstern Basel | on 2025-09-18 23:00:00 | in Nordstern, Basel"
Corrientes Milonga,2025-09-18 20:00:00,,,,Tango Social Dance,Ja,Tango,12.0,12.0,CHF,paid,mid,50.0,200.0,medium (100–500),30.0,65.0,18+,Corrientes Basel,Basel (CH),autumn,Ja,Tango-Community,Corrientes Basel,https://www.instagram.com/corrientesbasel/,https://www.corrientes.ch/index.php/veranstaltungskalender/,0.3,Corrientes Milonga | by Corrientes Basel | on 2025-09-18 20:00:00 | in Corrientes Basel
