event-name,event-datetime,event-type,price,event-location,user-age,user-category,instagram,organizer,price_numeric_min,price_numeric_max,price_category,age_group_label,audience_size_estimate,dance_focus,dance_style,season,region,cross_border_potential
Ü30-Party @ Sudhaus Basel,2025-09-20 22:00,Clubnacht / Tanzparty,15 CHF,"Sudhaus Basel, Schweiz",30-55,"Ü30, Party-Publikum",@sudhaus_basel,Sudhaus Basel,15.0,15.0,günstig,Midlife,300-2000,Ja,None,Herbst,Basel,Ja
Sunday Hop @ Basel Jitterbugs,jeden Sonntag 18:00,Swing Social Dance (Lindy Hop/Balboa),10 CHF,"Unternehmen Mitte, Basel",20-45,Swingtanz-Community,@baseljitterbugs,Basel Jitterbugs,10.0,10.0,günstig,Midlife,50-200,Ja,Swing/Balboa,unknown,Basel,Ja
3-Floor-Práctica Bailamos Salsa,jeden Donnerstag 20:00,Salsa/Bachata/Kizomba Social Dance,10-15 CHF,"Bailamos Salsa GmbH, Basel",20-40,Latin Dance Community,@bailamossalsa,Bailamos Salsa GmbH,10.0,15.0,günstig,Adults,50-200,Ja,Salsa/Bachata/Kizomba,unknown,Basel,Ja
Nellies Tanztee,2025-09-28 15:00,Tanztee / Social,Eintritt frei / Spende,"Nellie Nashorn, Lörrach",40-70,"Soziokultur, Generation 40+",@nellie.nashorn,Nellie Nashorn,,,teuer,Senior/All Ages,50-200,Ja,None,Herbst,Lörrach/Weil,Ja
STIMMEN Festival,Sommer 2025 (mehrere Tage),Open-Air Musikfestival,40-120 € je nach Konzert,Burghof Lörrach & weitere Locations,25-60,"Festivalbesucher, Kulturinteressierte",@burghof,Burghof Lörrach GmbH,40.0,120.0,teuer,Midlife,>10000,Nein,Multigenre,unknown,Lörrach/Weil,Ja
Sea You Festival,Juli 2025 (3 Tage),Elektronisches Musikfestival,99-169 €,"Tunisee, Freiburg",18-35,"EDM-Fans, Festivalgänger",@seayoufestival,Sea You Freiburg GmbH,99.0,169.0,teuer,Adults,>10000,Nein,Multigenre,Sommer,Freiburg,Ja
Zelt-Musik-Festival (ZMF),Juli 2025 (3 Wochen),Multigenre Festival (Musik/Tanz/Kleinkunst),20-80 €,"Mundenhof, Freiburg",25-60,"Breites Publikum, Kulturinteressierte",@zmf_freiburg,ZMF GmbH & Vaddi Concerts,20.0,80.0,teuer,Midlife,>10000,Ja,Multigenre,Sommer,Freiburg,Ja
Atlantis Tanznacht40,monatlich Samstags 21:00,Ü40 Tanznacht / Clubnacht,15 CHF,Atlantis Basel,40-65,Ü40 Party-Publikum,@atlantisbasel,Atlantis Basel,15.0,15.0,günstig,Senior/All Ages,300-2000,Ja,None,unknown,Basel,Ja
Nordstern Weekend Club,jedes Wochenende ab 23:00,Techno/House Clubnacht,20-30 CHF,"Nordstern, Basel",20-40,Techno/House Fans,@nordsternbasel,Nordstern Basel,20.0,30.0,mittel,Adults,300-2000,Nein,EDM/Techno/House,unknown,Basel,Ja
Corrientes Milonga,jeden Freitag 20:00,Tango Social Dance,12 CHF,Corrientes Basel,30-65,Tango-Community,@corrientesbasel,Corrientes Basel,12.0,12.0,günstig,Senior/All Ages,50-200,Ja,Tango,unknown,Basel,Ja
Unternehmen Mitte Salsa Social,jeden Sonntag 19:00,Salsa/Bachata Social Dance,10 CHF,"Unternehmen Mitte, Basel",20-40,Latin Dance Community,@unternehmenmitte,Salsa Basel Community,10.0,10.0,günstig,Adults,50-200,Ja,Salsa/Bachata/Kizomba,unknown,Basel,Ja
KC Afterwork Salsa,monatlich Donnerstag 19:00,Afterwork Salsa/Bachata,10 €,Lörrach,25-45,Afterwork & Tanz Community,@kcafterwork,KC Afterwork Lörrach,10.0,10.0,günstig,Midlife,unknown,Ja,Salsa/Bachata/Kizomba,unknown,Lörrach/Weil,Ja
Tanzschule Neugebauer Übungsabend,Samstags 20:00,Standard/Latein Social Dance,8-12 €,"TSNL, Lörrach",20-60,Paartanz-Community,@tsnl_loerrach,Tanzschule Neugebauer,8.0,12.0,günstig,Midlife,50-200,Ja,Standard/Latein,unknown,Lörrach/Weil,Ja
Siebenschritt Bal Folk Ball,vierteljährlich Samstags,Bal Folk Tanzball,15-25 €,Freiburg,25-60,Bal Folk Community,@siebenschritt_freiburg,Siebenschritt e.V.,15.0,25.0,mittel,Midlife,50-200,Ja,Swing/Balboa,unknown,Freiburg,Ja
Swing-in’ Freiburg Social,jeden Freitag 20:00,Swing/Lindy Hop Social Dance,10 €,Freiburg,20-45,Swingtanz-Community,@swinginfreiburg,Swing-in’ Freiburg,10.0,10.0,günstig,Midlife,50-200,Ja,Swing/Balboa,unknown,Freiburg,Ja
Tanzschule Gutmann Late Night,jeden Samstag 21:00,Multigenre Social Dance,10-15 €,"Tanzschule Gutmann, Freiburg",20-40,Tanzschul-Community,@tanzschulegutmann,Tanzschule Gutmann,10.0,15.0,günstig,Adults,50-200,Ja,None,unknown,Freiburg,Ja
Jazzhaus Freiburg 80s Party,monatlich Samstag 23:00,80er Tanznacht,12-18 €,Jazzhaus Freiburg,25-50,"80er Fans, Clubgäste",@jazzhausfreiburg,Jazzhaus Freiburg,12.0,18.0,mittel,Midlife,300-2000,Ja,None,unknown,Freiburg,Ja
Museumsnacht Basel,Januar 2026 (1 Nacht),Kulturelles Stadtfestival,25 CHF,Museen Basel,20-65,Kultur- & Social-Community,@museumsnachtbasel,Museen Basel,25.0,25.0,mittel,Senior/All Ages,>10000,Nein,Multigenre,Winter,Basel,Ja
