event-name,start_datetime,end_datetime,recurrence_rule,date_description,event-type,dance_focus,dance_style,price_min,price_max,currency,pricing_type,price_category,audience_min,audience_max,audience_size_bucket,age_min,age_max,age_group_label,event-location,region,season,cross_border_potential,user-category,organizer,instagram,event_link,event_link_fit,description,event_date,event_time,weekday,month,country,city,latitude,longitude,region_standardized
Museumsnacht Basel,2026-01-18 00:00:00,,,,Kulturelles Stadtfestival,Nein,Multigenre,25.0,25.0,CHF,paid,mid,10000.0,,large (>500),20.0,65.0,All Ages,Museen Basel,Basel (CH),Winter,Ja,Kultur- & Social-Community,Museen Basel,https://www.instagram.com/museumsnachtbasel/,https://museumsnacht.ch/en/,0.3,"Museumsnacht Basel findet in Museen Basel, Basel statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-01-18,00:00,Sunday,1.0,CH,Basel,47.5596,7.5886,Basel (CH)
Bloodere Clique Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Bloodere Clique Lörrach,https://www.instagram.com/bloodereclique/,https://www.bloodereclique.de,0.3,"Bloodere Clique Lörrach – Fasnachtsumzug findet in Innenstadt Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Storchen-Clique Hauingen – Fasnachtsauftritt,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Hauingen (Lörrach),Lörrach (DE),Winter,Ja,Tradition & Fasnacht,Storchen-Clique Hauingen e.V.,https://www.instagram.com/storchencliquehauingen/,https://www.storchenclique.de,0.3,"Storchen-Clique Hauingen – Fasnachtsauftritt findet in Hauingen (Lörrach), Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Brunnenputzer Lörrach – Fasnacht,2026-02-23 20:26:00,,,,Fasnacht / Straßenumzug,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtum,Brunnenputzer Lörrach,https://www.instagram.com/brunnenputzer/,https://www.brunnenputzer-loerrach.de,0.3,"Brunnenputzer Lörrach – Fasnacht findet in Innenstadt Lörrach, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Brunnenputzer Lörrach – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Brunnenputzer Lörrach,,https://www.fasnacht-loerrach.de,0.9,"Brunnenputzer Lörrach – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Clunggi Haltingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Clunggi Haltingen,,https://www.fasnacht-loerrach.de,0.9,"Clunggi Haltingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Alti Fabriknäscht Cligge Friedlingen,,https://www.fasnacht-loerrach.de,0.9,"Alti Fabriknäscht Cligge Friedlingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Altwiiler Räbbuure – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Altwiiler Räbbuure,,https://www.fasnacht-loerrach.de,0.9,"Altwiiler Räbbuure – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Auggener Räbchnurre – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Auggener Räbchnurre,,https://www.fasnacht-loerrach.de,0.9,"Auggener Räbchnurre – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
Bachratte Eimeldingen – Fasnachtsumzug,2026-02-23 20:26:00,,,,Fasnacht / Umzug / Straßenfest,Nein,,,,EUR,,,300.0,2000.0,large (>500),,,All Ages,Innenstadt Lörrach & Ortsteile,Lörrach (DE),Winter,Ja,Fasnacht- & Brauchtumsfans,Bachratte Eimeldingen,,https://www.fasnacht-loerrach.de,0.9,"Bachratte Eimeldingen – Fasnachtsumzug findet in Innenstadt Lörrach & Ortsteile, Lörrach statt. Besucher erwartet ein abwechslungsreiches Programm mit guter Stimmung, Musik und Begegnungen. Geeignet für alle, die einen besonderen Abend oder ein kulturelles Erlebnis genießen möchten.",2026-02-23,20:26,Monday,2.0,DE,Lörrach,47.615,7.6646,Lörrach (DE)
